GROUP,Conditions,sub_ID,Hemisphere,Tchannel,Tvalues,Pchannel,Pvalues,Fchannel,Fvalues,AGchannel,AGvalues
CI_T0,babble,,L,CH2,0.118577326,CH3,0.108326092,CH1,-0.054164513,CH7,0.043798486
CI_T0,aspeech,,L,CH5,-0.091377697,CH6,-0.290224774,CH4,0.037481464,,
CI_T0,aspeech,,L,CH5,-0.039777741,CH6,-0.028074401,CH4,-0.060046908,,
CI_T0,aspeech,,L,CH5,,CH6,0.21369123,CH4,0.091420214,,
CI_T0,aspeech,,L,CH5,-0.18100873,CH6,-0.0631595,CH4,,,
CI_T0,aspeech,,L,CH5,-0.097248261,CH6,-0.31115094,CH4,-0.372278465,,
CI_T0,aspeech,,L,CH5,0.00077592,CH6,-0.034644879,CH4,-0.016508356,,
CI_T0,aspeech,,L,CH5,-0.185835155,CH6,-0.281942919,CH4,-0.09847115,,
CI_T0,aspeech,,L,CH5,-0.053367375,CH6,0.130167585,CH4,,,
CI_T0,aspeech,,L,CH5,0.032914144,CH6,-0.01820422,CH4,-0.074637638,,
CI_T0,aspeech,,L,CH5,0.58990057,CH6,-0.063135105,CH4,0.324710958,,
CI_T0,aspeech,,L,CH5,0.221955961,CH6,-0.217130684,CH4,-0.161799347,,
CI_T0,aspeech,,L,CH5,0.196091269,CH6,0.105902707,CH4,,,
CI_T0,aspeech,,L,CH5,-0.074962376,CH6,0.232340509,CH4,1.234312704,,
CI_T0,aspeech,,L,CH5,0.334478599,CH6,0.072804454,CH4,0.343569951,,
CI_T0,aspeech,,L,CH5,0.272247563,CH6,,CH4,,,
CI_T0,aspeech,,L,CH5,0.007402087,CH6,0.130607886,CH4,,,
CI_T0,aspeech,,L,CH5,0.161364225,CH6,0.197657895,CH4,0.387922757,,
CI_T0,aspeech,,L,CH5,-0.009135857,CH6,0.072801144,CH4,0.096092271,,
CI_T0,aspeech,,L,CH5,-0.036692362,CH6,0.123047258,CH4,-0.071160521,,
CI_T0,aspeech,,L,CH5,-0.213015466,CH6,-0.105919459,CH4,0.103971607,,
CI_T0,aspeech,,L,CH5,0.021549608,CH6,0.191003053,CH4,-0.211540915,,
CI_T0,aspeech,,L,CH5,-0.021680793,CH6,0.003515258,CH4,0.090726383,,
CI_T0,aspeech,,L,CH5,0.09566141,CH6,,CH4,0.141546558,,
CI_T0,aspeech,,L,CH5,0.075895177,CH6,0.208685352,CH4,0.067646359,,
CI_T0,aspeech,,L,CH5,0.031296635,CH6,0.148682796,CH4,-0.305072766,,
CI_T0,aspeech,,L,CH5,0.028926736,CH6,0.523863285,CH4,,,
CI_T0,aspeech,,L,CH5,0.0268778,CH6,0.15257029,CH4,0.004868762,,
CI_T0,aspeech,,L,CH5,-0.236049542,CH6,-0.188290782,CH4,-0.041914228,,
CI_T0,aspeech,,L,CH5,0.040154639,CH6,0.067673667,CH4,0.216648374,,
CI_T0,aspeech,,L,CH5,0.019137634,CH6,0.125771505,CH4,-0.107703953,,
CI_T0,babble,,L,CH5,-0.010773585,CH6,-0.095329463,CH4,-0.103786047,,
CI_T0,babble,,L,CH5,0.092578379,CH6,-0.053736359,CH4,0.207209589,,
CI_T0,babble,,L,CH5,,CH6,0.189363616,CH4,0.094657132,,
CI_T0,babble,,L,CH5,0.00888828,CH6,0.044166137,CH4,,,
CI_T0,babble,,L,CH5,0.08582562,CH6,-0.031435676,CH4,0.008197741,,
CI_T0,babble,,L,CH5,-0.063159358,CH6,-0.104275191,CH4,-0.053030479,,
CI_T0,babble,,L,CH5,-0.047172042,CH6,0.191879304,CH4,0.100153868,,
CI_T0,babble,,L,CH5,0.211825597,CH6,0.04515493,CH4,,,
CI_T0,babble,,L,CH5,0.216953136,CH6,-0.002783241,CH4,0.084231908,,
CI_T0,babble,,L,CH5,-0.263495317,CH6,0.126712572,CH4,-0.284599599,,
CI_T0,babble,,L,CH5,0.261590946,CH6,0.043483018,CH4,0.229788514,,
CI_T0,babble,,L,CH5,0.274238596,CH6,-0.083347696,CH4,,,
CI_T0,babble,,L,CH5,-0.141504364,CH6,-0.054555977,CH4,0.724518691,,
CI_T0,babble,,L,CH5,-0.310385561,CH6,-0.153735802,CH4,0.372617649,,
CI_T0,babble,,L,CH5,0.298455695,CH6,,CH4,,,
CI_T0,babble,,L,CH5,-0.6223528,CH6,-0.263534502,CH4,,,
CI_T0,babble,,L,CH5,-0.053078107,CH6,0.00075132,CH4,0.128201206,,
CI_T0,babble,,L,CH5,0.08399134,CH6,-0.037010112,CH4,0.019866264,,
CI_T0,babble,,L,CH5,0.307885722,CH6,0.104137351,CH4,0.038205575,,
CI_T0,babble,,L,CH5,-0.098683537,CH6,-0.150296054,CH4,-0.130149765,,
CI_T0,babble,,L,CH5,0.025283439,CH6,-0.16250006,CH4,0.437051883,,
CI_T0,babble,,L,CH5,0.159869953,CH6,-0.737327439,CH4,-0.158094834,,
CI_T0,babble,,L,CH5,-0.060111975,CH6,,CH4,-0.279599326,,
CI_T0,babble,,L,CH5,-0.027384867,CH6,0.299464395,CH4,-0.076779722,,
CI_T0,babble,,L,CH5,0.40172236,CH6,0.093883477,CH4,0.038393959,,
CI_T0,babble,,L,CH5,-0.118685286,CH6,0.403636606,CH4,,,
CI_T0,babble,,L,CH5,-0.170018831,CH6,-0.919595082,CH4,-0.253746854,,
CI_T0,babble,,L,CH5,-0.003151362,CH6,0.199171939,CH4,-0.221716499,,
CI_T0,babble,,L,CH5,-0.023286585,CH6,0.123069133,CH4,0.036749186,,
CI_T0,babble,,L,CH5,-0.236050949,CH6,0.148655497,CH4,-0.075329007,,
CI_T0,aspeech,,L,CH8,,CH9,-0.133231973,,,,
CI_T0,aspeech,,L,CH8,-0.199510014,CH9,0.252687983,,,,
CI_T0,aspeech,,L,CH8,,CH9,-0.154973483,,,,
CI_T0,aspeech,,L,CH8,,CH9,-0.039845562,,,,
CI_T0,aspeech,,L,CH8,,CH9,-0.067103805,,,,
CI_T0,aspeech,,L,CH8,,CH9,-0.039919883,,,,
CI_T0,aspeech,,L,CH8,,CH9,-0.152009108,,,,
CI_T0,aspeech,,L,CH8,-0.042876545,CH9,0.257336024,,,,
CI_T0,aspeech,,L,CH8,-0.024293715,CH9,-0.090586448,,,,
CI_T0,aspeech,,L,CH8,,CH9,0.097599026,,,,
CI_T0,aspeech,,L,CH8,,CH9,0.092419316,,,,
CI_T0,aspeech,,L,CH8,0.275163805,CH9,0.135600499,,,,
CI_T0,aspeech,,L,CH8,-0.123698435,CH9,-0.168904727,,,,
CI_T0,aspeech,,L,CH8,-0.118184504,CH9,-0.046120397,,,,
CI_T0,aspeech,,L,CH8,0.343621093,CH9,0.083819632,,,,
CI_T0,aspeech,,L,CH8,-0.050262549,CH9,0.101147221,,,,
CI_T0,aspeech,,L,CH8,0.064347375,CH9,0.153573394,,,,
CI_T0,aspeech,,L,CH8,0.02125374,CH9,0.053303319,,,,
CI_T0,aspeech,,L,CH8,0.2112724,CH9,0.138414866,,,,
CI_T0,aspeech,,L,CH8,-0.061102423,CH9,-0.087779031,,,,
CI_T0,aspeech,,L,CH8,-0.284666499,CH9,0.014805007,,,,
CI_T0,aspeech,,L,CH8,0.364952889,CH9,0.091159934,,,,
CI_T0,aspeech,,L,CH8,-0.110331521,CH9,-0.07170371,,,,
CI_T0,aspeech,,L,CH8,-0.098858157,CH9,0.059229792,,,,
CI_T0,aspeech,,L,CH8,-0.143589478,CH9,-0.111700505,,,,
CI_T0,aspeech,,L,CH8,-0.22296715,CH9,,,,,
CI_T0,aspeech,,L,CH8,0.17473302,CH9,0.172915777,,,,
CI_T0,aspeech,,L,CH8,0.142044484,CH9,0.239641472,,,,
CI_T0,aspeech,,L,CH8,0.028863664,CH9,-0.070047299,,,,
CI_T0,aspeech,,L,CH8,-0.047746651,CH9,0.001089854,,,,
CI_T0,babble,,L,CH8,,CH9,-0.020519303,,,,
CI_T0,babble,,L,CH8,0.081831385,CH9,-0.23885687,,,,
CI_T0,babble,,L,CH8,,CH9,0.05933563,,,,
CI_T0,babble,,L,CH8,,CH9,-0.100473194,,,,
CI_T0,babble,,L,CH8,,CH9,0.003114376,,,,
CI_T0,babble,,L,CH8,,CH9,-0.18377625,,,,
CI_T0,babble,,L,CH8,,CH9,0.17032072,,,,
CI_T0,babble,,L,CH8,0.22755996,CH9,0.08243688,,,,
CI_T0,babble,,L,CH8,0.103907631,CH9,-0.064237657,,,,
CI_T0,babble,,L,CH8,,CH9,0.068636195,,,,
CI_T0,babble,,L,CH8,,CH9,0.13463389,,,,
CI_T0,babble,,L,CH8,0.050181432,CH9,-0.046750706,,,,
CI_T0,babble,,L,CH8,-0.186533027,CH9,-0.135285605,,,,
CI_T0,babble,,L,CH8,-0.148148633,CH9,-0.111098384,,,,
CI_T0,babble,,L,CH8,0.216176497,CH9,0.337870618,,,,
CI_T0,babble,,L,CH8,-0.862269852,CH9,-0.276260383,,,,
CI_T0,babble,,L,CH8,0.052609224,CH9,0.012077466,,,,
CI_T0,babble,,L,CH8,-0.052177209,CH9,0.042703109,,,,
CI_T0,babble,,L,CH8,-0.020843704,CH9,0.037559777,,,,
CI_T0,babble,,L,CH8,-0.126388682,CH9,-0.101827637,,,,
CI_T0,babble,,L,CH8,-0.0966914,CH9,-0.155373818,,,,
CI_T0,babble,,L,CH8,-0.162844489,CH9,-0.173050135,,,,
CI_T0,babble,,L,CH8,0.016259367,CH9,0.030807618,,,,
CI_T0,babble,,L,CH8,0.091993765,CH9,0.059283355,,,,
CI_T0,babble,,L,CH8,-0.036111979,CH9,0.171364747,,,,
CI_T0,babble,,L,CH8,-0.569364723,CH9,,,,,
CI_T0,babble,,L,CH8,-0.611006214,CH9,-0.368421208,,,,
CI_T0,babble,,L,CH8,0.010795825,CH9,-0.329959695,,,,
CI_T0,babble,,L,CH8,0.045840714,CH9,-0.087317687,,,,
CI_T0,babble,,L,CH8,-0.021255973,CH9,0.00467975,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CI_T0,aspeech,,R,CH2,-0.049614438,CH3,-0.054410044,CH1,-0.153328015,,
CI_T0,aspeech,,R,CH2,0.025724506,CH3,,CH1,0.006915897,,
CI_T0,aspeech,,R,CH2,-0.2628166,CH3,-0.643982056,CH1,0.044999474,,
CI_T0,aspeech,,R,CH2,-0.565966523,CH3,-0.021804089,CH1,-0.192154241,,
CI_T0,aspeech,,R,CH2,-0.019345257,CH3,-0.222260547,CH1,-0.250810295,,
CI_T0,aspeech,,R,CH2,-0.21066785,CH3,-0.004739788,CH1,-0.157550576,,
CI_T0,aspeech,,R,CH2,-0.023967847,CH3,0.039894659,CH1,-0.066981396,,
CI_T0,aspeech,,R,CH2,-0.189278416,CH3,0.141844138,CH1,0.026463929,,
CI_T0,aspeech,,R,CH2,0.053896496,CH3,0.044625389,CH1,-0.02357942,,
CI_T0,aspeech,,R,CH2,-0.001105113,CH3,0.149292465,CH1,-0.312863338,,
CI_T0,aspeech,,R,CH2,0.261102948,CH3,,CH1,,,
CI_T0,aspeech,,R,CH2,0.586051237,CH3,0.487619595,CH1,1.144402092,,
CI_T0,aspeech,,R,CH2,-0.180288589,CH3,-0.145569072,CH1,0.002665638,,
CI_T0,aspeech,,R,CH2,0.031574849,CH3,0.051572025,CH1,0.236699305,,
CI_T0,aspeech,,R,CH2,0.129864145,CH3,0.491942369,CH1,0.077988863,,
CI_T0,aspeech,,R,CH2,0.33079164,CH3,0.135779554,CH1,-0.050189388,,
CI_T0,aspeech,,R,CH2,0.141903328,CH3,0.247924299,CH1,0.086577876,,
CI_T0,aspeech,,R,CH2,0.207749345,CH3,-0.064080724,CH1,-0.105230649,,
CI_T0,aspeech,,R,CH2,0.065066292,CH3,0.142798344,CH1,-0.014880968,,
CI_T0,aspeech,,R,CH2,-0.117819311,CH3,0.033382231,CH1,-0.097178384,,
CI_T0,aspeech,,R,CH2,-0.016924942,CH3,-0.282522989,CH1,0.082718123,,
CI_T0,aspeech,,R,CH2,1.192388631,CH3,,CH1,-0.118941396,,
CI_T0,aspeech,,R,CH2,0.117133649,CH3,-0.09374782,CH1,-0.064659773,,
CI_T0,aspeech,,R,CH2,0.113524842,CH3,0.126783761,CH1,0.059280024,,
CI_T0,aspeech,,R,CH2,0.367194018,CH3,0.065429471,CH1,-0.116824983,,
CI_T0,aspeech,,R,CH2,,CH3,-0.156614106,CH1,-0.114093503,,
CI_T0,aspeech,,R,CH2,-0.386845203,CH3,0.260638225,CH1,-0.216937718,,
CI_T0,aspeech,,R,CH2,-0.068885881,CH3,,CH1,0.266122725,,
CI_T0,aspeech,,R,CH2,0.044948913,CH3,0.09441523,CH1,0.234733253,,
CI_T0,aspeech,,R,CH2,-0.02681195,CH3,0.058743209,CH1,0.033833419,,
CI_T0,babble,,R,CH2,0.044292852,CH3,0.031440003,CH1,-0.051067318,,
CI_T0,babble,,R,CH2,0.097888973,CH3,,CH1,-0.00449505,,
CI_T0,babble,,R,CH2,-0.134021143,CH3,-0.019821717,CH1,0.069463366,,
CI_T0,babble,,R,CH2,0.047927811,CH3,-0.192191122,CH1,-0.119465845,,
CI_T0,babble,,R,CH2,0.103706146,CH3,-0.012436859,CH1,-0.023463327,,
CI_T0,babble,,R,CH2,0.088952721,CH3,-0.014949026,CH1,0.093237214,,
CI_T0,babble,,R,CH2,0.181393741,CH3,0.279801642,CH1,0.264093186,,
CI_T0,babble,,R,CH2,-0.002456506,CH3,0.168320204,CH1,0.092678533,,
CI_T0,babble,,R,CH2,0.052238208,CH3,0.045125089,CH1,-0.070518262,,
CI_T0,babble,,R,CH2,0.113270077,CH3,0.137948938,CH1,-0.713555088,,
CI_T0,babble,,R,CH2,-0.031880253,CH3,,CH1,,,
CI_T0,babble,,R,CH2,0.174891668,CH3,-0.007234569,CH1,0.511539155,,
CI_T0,babble,,R,CH2,-0.026514118,CH3,-0.073346586,CH1,-0.013481595,,
CI_T0,babble,,R,CH2,0.06571098,CH3,-0.174572984,CH1,-0.043786672,,
CI_T0,babble,,R,CH2,-0.192732413,CH3,-0.083234598,CH1,-0.046233271,,
CI_T0,babble,,R,CH2,-0.210395213,CH3,-0.037416202,CH1,-0.352002385,,
CI_T0,babble,,R,CH2,-0.017756216,CH3,0.02201962,CH1,0.073382828,,
CI_T0,babble,,R,CH2,-0.155150803,CH3,0.16858835,CH1,0.208391029,,
CI_T0,babble,,R,CH2,0.062056974,CH3,0.301294792,CH1,0.261673926,,
CI_T0,babble,,R,CH2,-0.053193945,CH3,0.037767884,CH1,-0.107656759,,
CI_T0,babble,,R,CH2,-0.093261576,CH3,-0.099556387,CH1,0.195743511,,
CI_T0,babble,,R,CH2,-0.00911121,CH3,,CH1,-0.406556367,,
CI_T0,babble,,R,CH2,0.150719867,CH3,0.013860093,CH1,-0.348497797,,
CI_T0,babble,,R,CH2,-0.139819223,CH3,-0.076179158,CH1,-0.010714552,,
CI_T0,babble,,R,CH2,0.024644526,CH3,0.157251635,CH1,0.1526909,,
CI_T0,babble,,R,CH2,,CH3,0.065755582,CH1,0.085480706,,
CI_T0,babble,,R,CH2,0.816068029,CH3,-0.411951134,CH1,0.014562137,,
CI_T0,babble,,R,CH2,-0.156371869,CH3,,CH1,-0.184714604,,
CI_T0,babble,,R,CH2,-0.115450393,CH3,0.038644404,CH1,-0.131102955,,
CI_T0,babble,,R,CH2,0.125032565,CH3,0.114644542,CH1,0.111548765,,
CI_T0,aspeech,,R,CH5,-0.043807459,CH6,-0.123743662,CH4,-0.09603607,,
CI_T0,aspeech,,R,CH5,0.013721353,CH6,0.02318143,CH4,0.137682048,,
CI_T0,aspeech,,R,CH5,0.07113474,CH6,-0.110293043,CH4,0.115448364,,
CI_T0,aspeech,,R,CH5,-0.296615918,CH6,-0.063506909,CH4,-0.36716234,,
CI_T0,aspeech,,R,CH5,-0.077997138,CH6,-0.322504317,CH4,0.035310286,,
CI_T0,aspeech,,R,CH5,-0.146211313,CH6,-0.028926422,CH4,-0.196070887,,
CI_T0,aspeech,,R,CH5,-0.442418616,CH6,0.015052474,CH4,-0.179552285,,
CI_T0,aspeech,,R,CH5,-0.374658011,CH6,0.062144737,CH4,-7.99181E-05,,
CI_T0,aspeech,,R,CH5,-0.139410232,CH6,-0.011836878,CH4,0.040826495,,
CI_T0,aspeech,,R,CH5,0.184490928,CH6,0.155113279,CH4,,,
CI_T0,aspeech,,R,CH5,-0.43903966,CH6,,CH4,1.017728042,,
CI_T0,aspeech,,R,CH5,0.278630753,CH6,0.114712672,CH4,0.010252736,,
CI_T0,aspeech,,R,CH5,-0.040447773,CH6,-0.231085607,CH4,-0.040030615,,
CI_T0,aspeech,,R,CH5,0.06121923,CH6,0.018744895,CH4,0.159000956,,
CI_T0,aspeech,,R,CH5,-0.070184535,CH6,,CH4,0.024082687,,
CI_T0,aspeech,,R,CH5,0.06254603,CH6,-0.083112808,CH4,-0.154192987,,
CI_T0,aspeech,,R,CH5,0.069519399,CH6,0.14128792,CH4,0.053893523,,
CI_T0,aspeech,,R,CH5,-0.248923666,CH6,-0.028261364,CH4,-0.183122757,,
CI_T0,aspeech,,R,CH5,0.103713437,CH6,0.216790233,CH4,-0.108488915,,
CI_T0,aspeech,,R,CH5,-0.208429396,CH6,0.018225853,CH4,-0.134581685,,
CI_T0,aspeech,,R,CH5,-0.179125427,CH6,-0.128572953,CH4,-1.563268047,,
CI_T0,aspeech,,R,CH5,,CH6,-0.167146194,CH4,,,
CI_T0,aspeech,,R,CH5,-0.047910152,CH6,0.006970729,CH4,,,
CI_T0,aspeech,,R,CH5,-0.067877541,CH6,0.218387819,CH4,0.245022262,,
CI_T0,aspeech,,R,CH5,0.485972847,CH6,,CH4,-0.085252628,,
CI_T0,aspeech,,R,CH5,-0.009180485,CH6,-0.130264422,CH4,-0.046168851,,
CI_T0,aspeech,,R,CH5,-0.33884834,CH6,0.066401827,CH4,-0.499160871,,
CI_T0,aspeech,,R,CH5,,CH6,,CH4,-0.369174759,,
CI_T0,aspeech,,R,CH5,0.210460831,CH6,-0.080642538,CH4,0.195200377,,
CI_T0,aspeech,,R,CH5,-0.132004428,CH6,-0.091534064,CH4,0.163202224,,
CI_T0,babble,,R,CH5,-0.014770534,CH6,0.066352277,CH4,-0.061753909,,
CI_T0,babble,,R,CH5,0.000311726,CH6,0.10378384,CH4,0.086225743,,
CI_T0,babble,,R,CH5,0.16952539,CH6,0.333623467,CH4,0.119647159,,
CI_T0,babble,,R,CH5,0.044556072,CH6,-0.069860348,CH4,-0.046597079,,
CI_T0,babble,,R,CH5,0.021759918,CH6,0.157936822,CH4,-0.111092144,,
CI_T0,babble,,R,CH5,-0.014085782,CH6,-0.108655997,CH4,0.049103218,,
CI_T0,babble,,R,CH5,0.048061643,CH6,0.109153699,CH4,0.164417943,,
CI_T0,babble,,R,CH5,0.114117578,CH6,-0.019480999,CH4,0.002827005,,
CI_T0,babble,,R,CH5,-0.050414773,CH6,0.103187686,CH4,0.025811272,,
CI_T0,babble,,R,CH5,-0.025392886,CH6,-0.021622912,CH4,,,
CI_T0,babble,,R,CH5,0.077785001,CH6,,CH4,-0.209895444,,
CI_T0,babble,,R,CH5,0.067934395,CH6,0.796050584,CH4,0.720419693,,
CI_T0,babble,,R,CH5,0.048169337,CH6,-0.177351538,CH4,0.087316865,,
CI_T0,babble,,R,CH5,0.023866032,CH6,-0.15814697,CH4,-0.012574324,,
CI_T0,babble,,R,CH5,0.192833198,CH6,,CH4,0.047068852,,
CI_T0,babble,,R,CH5,-0.167190257,CH6,-0.221076786,CH4,-0.462636302,,
CI_T0,babble,,R,CH5,-0.094714348,CH6,-0.089170001,CH4,0.072021559,,
CI_T0,babble,,R,CH5,-0.167403285,CH6,0.026556628,CH4,-0.015267365,,
CI_T0,babble,,R,CH5,0.126529144,CH6,0.165488469,CH4,0.35554817,,
CI_T0,babble,,R,CH5,-0.024690929,CH6,-0.067960857,CH4,-0.100671547,,
CI_T0,babble,,R,CH5,0.103998322,CH6,0.171261748,CH4,-0.701129504,,
CI_T0,babble,,R,CH5,,CH6,-0.702907251,CH4,,,
CI_T0,babble,,R,CH5,0.058278806,CH6,-0.070123917,CH4,,,
CI_T0,babble,,R,CH5,-0.164470773,CH6,0.201209906,CH4,-0.025011849,,
CI_T0,babble,,R,CH5,-0.07267649,CH6,,CH4,-0.063515419,,
CI_T0,babble,,R,CH5,-0.520568012,CH6,0.172947719,CH4,-0.222510348,,
CI_T0,babble,,R,CH5,0.398359021,CH6,-0.107116892,CH4,0.321801332,,
CI_T0,babble,,R,CH5,,CH6,,CH4,-0.292085028,,
CI_T0,babble,,R,CH5,-0.249639537,CH6,0.117253779,CH4,-0.218804544,,
CI_T0,babble,,R,CH5,-0.053766294,CH6,-0.007127017,CH4,-0.14168097,,
CI_T0,aspeech,,R,CH8,-0.145798544,CH9,-0.152314601,,,,
CI_T0,aspeech,,R,CH8,0.000798463,CH9,0.040967831,,,,
CI_T0,aspeech,,R,CH8,0.823310553,CH9,0.61880406,,,,
CI_T0,aspeech,,R,CH8,-0.441254446,CH9,-0.148408612,,,,
CI_T0,aspeech,,R,CH8,-0.316740451,CH9,-0.064141482,,,,
CI_T0,aspeech,,R,CH8,-0.170595806,CH9,-0.092788368,,,,
CI_T0,aspeech,,R,CH8,-0.084673323,CH9,-0.046823936,,,,
CI_T0,aspeech,,R,CH8,-0.227502543,CH9,0.270369907,,,,
CI_T0,aspeech,,R,CH8,-0.09753988,CH9,-0.057958271,,,,
CI_T0,aspeech,,R,CH8,0.085473128,CH9,0.032369306,,,,
