GROUP,Conditions,sub_ID,Hemisphere,Tchannel,Tvalues,Pchannel,Pvalues,Fchannel,Fvalues,AGchannel,AGvalues
CI_T0,aspeech,,R,CH8,1.066259473,CH9,,,,,
CI_T0,aspeech,,R,CH8,1.308034755,CH9,1.496333023,,,,
CI_T0,aspeech,,R,CH8,0.0130884,CH9,0.050245773,,,,
CI_T0,aspeech,,R,CH8,-0.247502298,CH9,-0.036107399,,,,
CI_T0,aspeech,,R,CH8,0.206646707,CH9,-0.253157109,,,,
CI_T0,aspeech,,R,CH8,-0.228189567,CH9,-0.114897569,,,,
CI_T0,aspeech,,R,CH8,-0.013605764,CH9,0.115227268,,,,
CI_T0,aspeech,,R,CH8,-0.535368254,CH9,,,,,
CI_T0,aspeech,,R,CH8,0.080101931,CH9,0.026380435,,,,
CI_T0,aspeech,,R,CH8,-0.265157973,CH9,-0.04285189,,,,
CI_T0,aspeech,,R,CH8,0.097965885,CH9,0.038630414,,,,
CI_T0,aspeech,,R,CH8,,CH9,,,,,
CI_T0,aspeech,,R,CH8,0.029418722,CH9,-0.230601287,,,,
CI_T0,aspeech,,R,CH8,0.181133436,CH9,-0.085226757,,,,
CI_T0,aspeech,,R,CH8,0.250790697,CH9,0.293673204,,,,
CI_T0,aspeech,,R,CH8,-0.27795714,CH9,-0.091070541,,,,
CI_T0,aspeech,,R,CH8,0.777576204,CH9,0.030553302,,,,
CI_T0,aspeech,,R,CH8,-0.401960448,CH9,0.063294883,,,,
CI_T0,aspeech,,R,CH8,-0.039711352,CH9,0.055685162,,,,
CI_T0,aspeech,,R,CH8,-0.022743561,CH9,-0.042113464,,,,
CI_T0,babble,,R,CH8,-0.010276702,CH9,-0.020899973,,,,
CI_T0,babble,,R,CH8,-0.028845022,CH9,0.149052428,,,,
CI_T0,babble,,R,CH8,-1.200451117,CH9,0.276509141,,,,
CI_T0,babble,,R,CH8,0.087925933,CH9,-0.128461402,,,,
CI_T0,babble,,R,CH8,0.073100186,CH9,-0.060323829,,,,
CI_T0,babble,,R,CH8,-0.106493975,CH9,-0.102215125,,,,
CI_T0,babble,,R,CH8,0.184313219,CH9,0.077314337,,,,
CI_T0,babble,,R,CH8,0.034264306,CH9,-0.156519583,,,,
CI_T0,babble,,R,CH8,-0.040797501,CH9,0.064998702,,,,
CI_T0,babble,,R,CH8,0.278192696,CH9,-0.19781119,,,,
CI_T0,babble,,R,CH8,1.528582135,CH9,,,,,
CI_T0,babble,,R,CH8,0.830513193,CH9,0.797003427,,,,
CI_T0,babble,,R,CH8,-0.048677274,CH9,0.007964325,,,,
CI_T0,babble,,R,CH8,-0.034034248,CH9,0.017766022,,,,
CI_T0,babble,,R,CH8,-0.299117192,CH9,-0.589883518,,,,
CI_T0,babble,,R,CH8,-0.738120862,CH9,-0.350928237,,,,
CI_T0,babble,,R,CH8,-0.074936351,CH9,0.003132714,,,,
CI_T0,babble,,R,CH8,-0.388377933,CH9,,,,,
CI_T0,babble,,R,CH8,0.049455454,CH9,-0.101841386,,,,
CI_T0,babble,,R,CH8,-0.074217479,CH9,0.025952942,,,,
CI_T0,babble,,R,CH8,-0.007324054,CH9,0.040020371,,,,
CI_T0,babble,,R,CH8,,CH9,,,,,
CI_T0,babble,,R,CH8,0.299783583,CH9,0.045938655,,,,
CI_T0,babble,,R,CH8,-0.152727335,CH9,-0.065726104,,,,
CI_T0,babble,,R,CH8,0.194374666,CH9,0.117249267,,,,
CI_T0,babble,,R,CH8,-0.188911893,CH9,-0.192345933,,,,
CI_T0,babble,,R,CH8,-0.126570583,CH9,0.249928402,,,,
CI_T0,babble,,R,CH8,-0.332353384,CH9,0.098329911,,,,
CI_T0,babble,,R,CH8,0.052665144,CH9,-0.058854693,,,,
CI_T0,babble,,R,CH8,-0.052898344,CH9,-0.041565015,,,,
